Country,City,Charging Station ID,Charging Station Type,EV Model,Manufacturer,Battery Capacity (kWh),Charging Start Time,Charging End Time,Charging Duration (mins),Energy Delivered (kWh),Charging Cost ($),Payment Method,Temperature (°C),Charging Session Outcome,Station Utilization Rate (%)
UK,Birmingham,CS-1407,DC Fast,Nissan Leaf,Nissan,40,2025-02-06 14:22:51,2025-02-06 16:51:51,149,39.11,4.71,Subscription,15.3,Failed,54.3
Canada,Vancouver,CS-4993,DC Fast,Tesla Model 3,Tesla,60,2025-01-10 06:51:17,2025-01-10 09:48:17,177,26.28,5.57,Card,9.3,Completed,37.6
Germany,Hamburg,CS-3546,DC Fast,Audi e-tron,Audi,95,2025-03-29 16:33:17,2025-03-29 17:22:17,49,8.99,2.37,Card,28.2,Failed,47.2
Norway,Trondheim,CS-4039,Level 2,BMW i3,BMW,42,2025-03-07 20:05:10,2025-03-07 20:54:10,49,7.33,2.44,Card,6.7,Completed,73.3
USA,Los Angeles,CS-6821,Level 2,Hyundai Kona Electric,Hyundai,64,2025-01-17 00:02:30,2025-01-17 02:28:30,146,28.5,9.82,App,-3.5,Failed,25.3
India,Mumbai,CS-1852,Level 2,Audi e-tron,Audi,95,2025-02-05 09:45:34,2025-02-05 11:09:34,84,16.2,3.41,Subscription,12.6,Aborted,37.1
UK,Manchester,CS-9618,Level 1,Kia EV6,Kia,77,2025-02-22 01:28:34,2025-02-22 03:17:34,109,71.55,18.3,Subscription,12.0,Aborted,58.2
UK,Birmingham,CS-4554,Level 2,Hyundai Kona Electric,Hyundai,64,2025-01-17 09:07:29,2025-01-17 10:44:29,97,11.05,2.19,App,12.8,Failed,44.1
Norway,Bergen,CS-2552,DC Fast,Kia EV6,Kia,77,2025-02-27 03:19:01,2025-02-27 03:44:01,25,57.33,21.41,App,6.0,Completed,16.0
Canada,Vancouver,CS-2294,DC Fast,Renault Zoe,Renault,52,2025-02-26 21:14:37,2025-02-26 22:09:37,55,49.78,7.11,Subscription,26.3,Completed,20.1
France,Nice,CS-1285,DC Fast,Audi e-tron,Audi,95,2025-03-28 12:59:22,2025-03-28 14:46:22,107,39.46,10.66,Card,22.2,Aborted,39.8
Germany,Hamburg,CS-5862,Level 2,BMW i3,BMW,42,2025-02-27 16:51:54,2025-02-27 19:21:54,150,18.58,3.61,Card,33.4,Completed,68.9
Norway,Trondheim,CS-4361,DC Fast,Porsche Taycan,Porsche,93,2025-02-13 05:31:32,2025-02-13 08:09:32,158,15.36,5.11,App,3.6,Failed,32.8
Norway,Oslo,CS-6126,DC Fast,Nissan Leaf,Nissan,40,2025-02-06 17:11:18,2025-02-06 18:00:18,49,34.85,8.21,App,34.9,Failed,87.4
India,Bangalore,CS-1880,Level 2,Audi e-tron,Audi,95,2025-03-20 02:20:38,2025-03-20 02:51:38,31,54.5,10.2,Card,23.5,Failed,61.0
India,Bangalore,CS-3771,Level 1,Chevy Bolt,Chevrolet,66,2025-03-18 21:21:00,2025-03-18 22:07:00,46,65.09,21.98,App,-3.9,Failed,55.8
Norway,Trondheim,CS-6689,Level 2,BMW i3,BMW,42,2025-03-17 05:08:33,2025-03-17 07:59:33,171,37.72,4.52,Subscription,23.8,Failed,42.9
Canada,Montreal,CS-9233,Level 2,Nissan Leaf,Nissan,40,2025-03-16 14:19:03,2025-03-16 15:06:03,47,39.03,11.42,App,22.2,Aborted,20.3
Japan,Yokohama,CS-2162,DC Fast,BYD Han,BYD,76,2025-03-06 01:21:04,2025-03-06 02:22:04,61,59.51,8.25,Card,28.3,Failed,22.2
UK,London,CS-2040,Level 2,Audi e-tron,Audi,95,2025-03-23 20:07:32,2025-03-23 21:19:32,72,36.14,13.82,Card,5.0,Failed,86.5
China,Beijing,CS-3318,Level 1,Hyundai Kona Electric,Hyundai,64,2025-04-07 06:40:47,2025-04-07 09:32:47,172,36.48,9.15,Subscription,32.7,Completed,23.7
Australia,Brisbane,CS-3067,Level 1,BYD Han,BYD,76,2025-03-14 06:42:30,2025-03-14 08:23:30,101,64.82,17.44,Card,-3.2,Failed,71.7
China,Shenzhen,CS-1579,Level 2,Chevy Bolt,Chevrolet,66,2025-02-14 16:04:21,2025-02-14 18:45:21,161,30.41,8.87,Subscription,16.8,Failed,86.5
Norway,Oslo,CS-3393,Level 1,Porsche Taycan,Porsche,93,2025-01-10 01:00:14,2025-01-10 02:31:14,91,44.91,13.77,App,11.6,Aborted,26.3
Australia,Sydney,CS-9385,Level 2,Audi e-tron,Audi,95,2025-03-07 13:45:45,2025-03-07 15:21:45,96,71.08,25.46,Card,25.4,Failed,54.9
India,Mumbai,CS-5034,Level 1,Kia EV6,Kia,77,2025-03-12 04:05:54,2025-03-12 04:51:54,46,24.26,4.23,Card,6.6,Aborted,79.1
Canada,Toronto,CS-2046,Level 1,BMW i3,BMW,42,2025-04-04 13:31:44,2025-04-04 15:09:44,98,39.55,12.51,Card,14.9,Failed,47.3
China,Shanghai,CS-5868,Level 1,Tesla Model 3,Tesla,60,2025-01-27 09:54:30,2025-01-27 10:32:30,38,56.99,14.34,Card,18.3,Completed,14.0
Norway,Trondheim,CS-9112,Level 2,Kia EV6,Kia,77,2025-04-03 13:46:10,2025-04-03 15:14:10,88,43.64,15.46,Card,30.3,Failed,39.3
Canada,Vancouver,CS-3809,Level 2,Tesla Model 3,Tesla,60,2025-01-14 18:21:41,2025-01-14 20:18:41,117,7.81,2.1,Subscription,6.5,Aborted,50.3
Japan,Osaka,CS-7085,Level 2,BYD Han,BYD,76,2025-02-01 18:08:11,2025-02-01 20:59:11,171,13.44,5.28,App,26.8,Aborted,54.6
India,Mumbai,CS-4874,Level 1,Chevy Bolt,Chevrolet,66,2025-03-05 18:39:06,2025-03-05 21:28:06,169,36.06,9.02,Card,0.5,Aborted,74.3
Japan,Osaka,CS-1617,DC Fast,BMW i3,BMW,42,2025-03-06 02:15:26,2025-03-06 05:05:26,170,38.05,5.4,App,1.5,Failed,69.1
China,Shenzhen,CS-2997,DC Fast,Audi e-tron,Audi,95,2025-02-21 05:16:22,2025-02-21 07:40:22,144,79.55,20.66,Subscription,7.0,Completed,39.5
Germany,Munich,CS-3938,DC Fast,BYD Han,BYD,76,2025-02-01 14:28:11,2025-02-01 16:01:11,93,61.57,19.55,Subscription,-3.9,Aborted,31.2
Australia,Brisbane,CS-9848,DC Fast,Chevy Bolt,Chevrolet,66,2025-04-06 10:22:59,2025-04-06 10:50:59,28,40.59,6.14,Subscription,19.8,Aborted,21.8
France,Paris,CS-5703,Level 2,BYD Han,BYD,76,2025-02-17 22:33:59,2025-02-17 23:16:59,43,18.55,4.31,Card,11.5,Completed,42.8
Australia,Melbourne,CS-7420,DC Fast,Tesla Model 3,Tesla,60,2025-02-18 15:51:07,2025-02-18 16:41:07,50,33.53,8.99,App,16.0,Aborted,86.5
Norway,Trondheim,CS-7483,DC Fast,Audi e-tron,Audi,95,2025-03-06 12:04:31,2025-03-06 14:38:31,154,36.89,12.23,Subscription,20.7,Failed,31.1
Norway,Oslo,CS-5332,Level 2,Chevy Bolt,Chevrolet,66,2025-02-11 06:55:31,2025-02-11 08:21:31,86,39.04,6.54,App,23.2,Failed,66.4
India,Delhi,CS-8920,Level 2,Audi e-tron,Audi,95,2025-04-04 16:17:45,2025-04-04 18:55:45,158,89.03,30.15,App,-0.1,Failed,53.5
Canada,Vancouver,CS-7783,Level 1,BMW i3,BMW,42,2025-03-05 19:50:53,2025-03-05 21:19:53,89,6.56,2.54,App,32.0,Failed,30.5
Norway,Oslo,CS-5623,Level 2,Chevy Bolt,Chevrolet,66,2025-04-02 05:15:58,2025-04-02 07:47:58,152,21.54,5.79,Card,-0.6,Failed,56.9
France,Paris,CS-1095,Level 2,Renault Zoe,Renault,52,2025-01-25 11:59:33,2025-01-25 13:11:33,72,34.98,4.05,App,23.7,Completed,64.5
UK,London,CS-9731,Level 2,Renault Zoe,Renault,52,2025-03-16 23:13:18,2025-03-17 00:08:18,55,24.12,9.18,App,21.0,Aborted,35.7
USA,New York,CS-4813,Level 1,BYD Han,BYD,76,2025-02-09 01:18:44,2025-02-09 02:32:44,74,43.0,13.63,Card,11.7,Completed,84.7
USA,Los Angeles,CS-5191,Level 2,Kia EV6,Kia,77,2025-01-19 19:28:18,2025-01-19 20:30:18,62,72.44,28.15,Card,-4.6,Failed,58.2
India,Delhi,CS-7278,Level 1,Kia EV6,Kia,77,2025-01-23 11:07:32,2025-01-23 14:06:32,179,44.12,10.95,Subscription,13.7,Completed,74.7
India,Mumbai,CS-8582,DC Fast,Kia EV6,Kia,77,2025-01-11 03:32:13,2025-01-11 06:32:13,180,23.52,3.67,App,26.6,Failed,64.0
France,Paris,CS-6879,DC Fast,BYD Han,BYD,76,2025-04-01 03:03:32,2025-04-01 06:01:32,178,68.69,23.91,App,-1.5,Failed,17.6
UK,Manchester,CS-9725,Level 2,Audi e-tron,Audi,95,2025-03-18 16:53:18,2025-03-18 18:11:18,78,5.61,1.21,App,33.2,Aborted,56.6
Australia,Sydney,CS-7368,Level 1,Hyundai Kona Electric,Hyundai,64,2025-02-20 20:55:33,2025-02-20 22:42:33,107,45.87,5.44,App,7.3,Aborted,64.9
China,Shenzhen,CS-5234,DC Fast,Nissan Leaf,Nissan,40,2025-04-07 20:15:43,2025-04-07 23:13:43,178,37.06,6.99,Card,3.8,Completed,48.3
Norway,Trondheim,CS-2989,Level 2,BYD Han,BYD,76,2025-01-13 03:28:54,2025-01-13 05:18:54,110,34.53,9.14,Subscription,27.1,Completed,70.9
Australia,Sydney,CS-1049,DC Fast,Renault Zoe,Renault,52,2025-01-10 13:07:40,2025-01-10 15:16:40,129,29.82,6.22,Card,-2.5,Failed,82.2
France,Nice,CS-9609,Level 2,Renault Zoe,Renault,52,2025-03-23 01:27:55,2025-03-23 02:20:55,53,12.73,4.54,Card,22.2,Failed,56.7
Germany,Hamburg,CS-1321,Level 2,Kia EV6,Kia,77,2025-03-23 17:16:04,2025-03-23 17:45:04,29,37.65,9.56,Subscription,-2.7,Aborted,63.8
China,Shenzhen,CS-6964,Level 1,Tesla Model 3,Tesla,60,2025-01-27 13:20:49,2025-01-27 15:16:49,116,19.0,1.92,Subscription,-2.1,Aborted,37.6
Germany,Hamburg,CS-1968,Level 2,Tesla Model 3,Tesla,60,2025-03-28 05:22:17,2025-03-28 05:54:17,32,59.24,14.31,App,2.2,Completed,71.3
Canada,Vancouver,CS-3057,Level 2,Porsche Taycan,Porsche,93,2025-01-26 10:13:47,2025-01-26 12:22:47,129,81.53,30.33,Card,22.3,Failed,80.0
UK,Birmingham,CS-5321,DC Fast,Audi e-tron,Audi,95,2025-01-18 10:15:38,2025-01-18 11:00:38,45,21.06,5.5,Card,24.1,Completed,76.8
USA,Los Angeles,CS-8585,Level 1,Kia EV6,Kia,77,2025-01-14 16:38:36,2025-01-14 19:12:36,154,35.54,7.6,Card,13.4,Completed,32.1
Germany,Berlin,CS-6151,Level 1,Porsche Taycan,Porsche,93,2025-03-25 00:55:12,2025-03-25 03:47:12,172,72.41,26.44,Card,3.2,Completed,57.5
Norway,Trondheim,CS-4312,Level 1,Tesla Model 3,Tesla,60,2025-01-27 14:27:57,2025-01-27 15:44:57,77,45.73,10.09,Subscription,3.7,Completed,21.2
China,Beijing,CS-9219,Level 2,BYD Han,BYD,76,2025-01-25 16:26:02,2025-01-25 18:02:02,96,46.0,15.26,Card,7.1,Completed,88.9
Japan,Tokyo,CS-8099,DC Fast,Porsche Taycan,Porsche,93,2025-03-14 19:17:47,2025-03-14 20:48:47,91,29.21,7.8,Subscription,31.5,Failed,64.3
Japan,Osaka,CS-2520,DC Fast,Tesla Model 3,Tesla,60,2025-02-05 21:18:22,2025-02-05 23:01:22,103,56.79,17.12,App,22.9,Aborted,21.9
Canada,Toronto,CS-1998,DC Fast,Renault Zoe,Renault,52,2025-02-28 04:29:35,2025-02-28 06:45:35,136,16.33,2.74,Card,27.2,Completed,55.0
Canada,Montreal,CS-3947,Level 2,Renault Zoe,Renault,52,2025-04-04 04:26:35,2025-04-04 05:15:35,49,23.26,4.11,Subscription,-1.8,Aborted,77.8
Germany,Hamburg,CS-1803,DC Fast,Chevy Bolt,Chevrolet,66,2025-03-16 21:24:15,2025-03-16 21:52:15,28,21.38,6.46,Card,29.9,Completed,74.4
Australia,Brisbane,CS-6243,Level 2,Renault Zoe,Renault,52,2025-01-25 14:48:55,2025-01-25 15:58:55,70,27.53,9.93,App,33.3,Completed,26.9
France,Nice,CS-2050,DC Fast,Nissan Leaf,Nissan,40,2025-03-24 19:40:21,2025-03-24 21:57:21,137,37.01,11.42,Card,10.9,Completed,54.2
China,Shanghai,CS-8598,Level 2,Kia EV6,Kia,77,2025-01-26 17:22:32,2025-01-26 19:53:32,151,51.71,9.96,Subscription,30.3,Aborted,17.9
Norway,Bergen,CS-9467,Level 1,Chevy Bolt,Chevrolet,66,2025-02-14 13:46:56,2025-02-14 15:35:56,109,24.09,2.74,Subscription,0.8,Aborted,54.3
Australia,Brisbane,CS-6950,Level 2,Porsche Taycan,Porsche,93,2025-03-23 02:13:01,2025-03-23 03:43:01,90,18.41,3.66,Subscription,28.3,Aborted,54.1
India,Delhi,CS-9852,DC Fast,Kia EV6,Kia,77,2025-01-17 02:47:10,2025-01-17 05:46:10,179,58.25,13.88,App,1.8,Failed,53.7
UK,Birmingham,CS-6010,DC Fast,Tesla Model 3,Tesla,60,2025-02-14 11:56:24,2025-02-14 14:25:24,149,6.86,2.43,Card,25.6,Aborted,21.0
France,Paris,CS-6962,Level 1,BMW i3,BMW,42,2025-03-14 05:47:39,2025-03-14 06:04:39,17,13.09,3.1,Subscription,20.5,Failed,83.0
Norway,Oslo,CS-4415,DC Fast,Tesla Model 3,Tesla,60,2025-04-04 22:36:12,2025-04-05 01:07:12,151,35.34,3.66,Subscription,6.0,Aborted,11.4
Canada,Toronto,CS-1671,DC Fast,Nissan Leaf,Nissan,40,2025-03-05 20:11:11,2025-03-05 20:50:11,39,23.35,4.02,Subscription,5.1,Aborted,31.4
Canada,Toronto,CS-4164,DC Fast,Audi e-tron,Audi,95,2025-02-06 11:10:18,2025-02-06 13:08:18,118,46.31,8.01,Card,7.0,Completed,62.3
USA,New York,CS-6933,DC Fast,Porsche Taycan,Porsche,93,2025-03-14 17:02:36,2025-03-14 18:54:36,112,38.19,9.27,Card,23.1,Completed,50.0
Canada,Montreal,CS-2409,DC Fast,Audi e-tron,Audi,95,2025-01-12 16:27:03,2025-01-12 19:06:03,159,92.96,36.45,Card,4.2,Failed,81.0
Norway,Bergen,CS-8294,DC Fast,Tesla Model 3,Tesla,60,2025-02-15 15:49:22,2025-02-15 16:23:22,34,42.64,7.85,Subscription,21.3,Completed,84.3
India,Mumbai,CS-6440,Level 2,Chevy Bolt,Chevrolet,66,2025-02-19 01:50:49,2025-02-19 04:35:49,165,13.8,4.78,Card,7.0,Failed,29.2
Canada,Montreal,CS-5269,DC Fast,Renault Zoe,Renault,52,2025-01-11 08:11:40,2025-01-11 09:50:40,99,23.04,7.42,Subscription,-1.9,Failed,87.9
USA,New York,CS-5687,DC Fast,Porsche Taycan,Porsche,93,2025-02-12 07:44:51,2025-02-12 08:58:51,74,78.8,15.93,Subscription,10.9,Aborted,12.4
China,Shanghai,CS-2501,Level 2,Kia EV6,Kia,77,2025-02-13 23:12:54,2025-02-14 00:25:54,73,30.62,11.71,Card,22.2,Failed,40.4
Australia,Melbourne,CS-4242,DC Fast,Chevy Bolt,Chevrolet,66,2025-02-23 14:19:25,2025-02-23 14:52:25,33,10.0,1.46,Subscription,1.2,Aborted,35.3
Germany,Berlin,CS-7239,Level 1,Tesla Model 3,Tesla,60,2025-03-09 05:22:25,2025-03-09 06:55:25,93,29.46,9.67,Card,-1.5,Aborted,45.9
Japan,Yokohama,CS-7027,Level 1,Porsche Taycan,Porsche,93,2025-02-14 07:02:21,2025-02-14 07:43:21,41,7.31,1.51,Subscription,18.9,Aborted,79.1
USA,Los Angeles,CS-7626,DC Fast,Porsche Taycan,Porsche,93,2025-02-28 14:49:50,2025-02-28 16:43:50,114,73.57,23.36,Card,17.9,Completed,64.8
UK,London,CS-2475,Level 1,Hyundai Kona Electric,Hyundai,64,2025-01-10 08:50:34,2025-01-10 10:22:34,92,20.84,3.0,App,6.0,Aborted,48.7
Germany,Munich,CS-2922,DC Fast,Hyundai Kona Electric,Hyundai,64,2025-03-26 21:23:31,2025-03-26 22:41:31,78,47.53,11.82,Card,13.3,Completed,34.4
Canada,Vancouver,CS-4305,Level 2,BYD Han,BYD,76,2025-03-22 23:16:36,2025-03-23 01:08:36,112,62.09,12.35,App,27.6,Failed,87.9
UK,Manchester,CS-4179,Level 2,Audi e-tron,Audi,95,2025-01-20 03:16:42,2025-01-20 06:05:42,169,90.26,14.46,Card,33.6,Aborted,33.3
Norway,Trondheim,CS-6736,Level 2,Chevy Bolt,Chevrolet,66,2025-01-26 22:12:53,2025-01-26 23:50:53,98,27.94,9.64,App,-0.4,Failed,26.0
Japan,Tokyo,CS-8074,DC Fast,Renault Zoe,Renault,52,2025-02-19 11:04:25,2025-02-19 11:25:25,21,49.79,11.87,Card,12.5,Aborted,76.5
Germany,Munich,CS-4213,DC Fast,Kia EV6,Kia,77,2025-03-07 19:45:51,2025-03-07 20:35:51,50,50.6,8.73,Card,23.6,Aborted,15.9
Australia,Melbourne,CS-4065,DC Fast,BYD Han,BYD,76,2025-01-09 10:34:15,2025-01-09 12:31:15,117,42.94,16.19,App,16.7,Aborted,66.1
Japan,Yokohama,CS-2100,Level 2,Nissan Leaf,Nissan,40,2025-02-06 04:32:39,2025-02-06 05:14:39,42,31.91,9.49,Card,20.9,Completed,55.1
Canada,Vancouver,CS-2534,DC Fast,Porsche Taycan,Porsche,93,2025-03-10 20:06:20,2025-03-10 20:48:20,42,5.93,1.05,Subscription,15.8,Failed,65.0
France,Lyon,CS-8990,DC Fast,Audi e-tron,Audi,95,2025-02-02 09:40:08,2025-02-02 11:35:08,115,46.68,14.18,Subscription,1.0,Completed,48.6
China,Shanghai,CS-5786,Level 2,Nissan Leaf,Nissan,40,2025-01-09 10:27:46,2025-01-09 11:11:46,44,34.1,10.88,App,8.7,Completed,51.7
India,Delhi,CS-2902,Level 1,Nissan Leaf,Nissan,40,2025-01-22 07:53:21,2025-01-22 10:00:21,127,30.27,7.14,App,-3.2,Failed,19.2
India,Bangalore,CS-9440,DC Fast,Nissan Leaf,Nissan,40,2025-02-18 01:53:23,2025-02-18 02:50:23,57,37.55,12.1,Card,17.1,Aborted,54.8
Norway,Oslo,CS-6199,Level 2,Porsche Taycan,Porsche,93,2025-01-27 16:39:44,2025-01-27 19:35:44,176,21.23,6.2,App,-3.8,Failed,80.6
Norway,Trondheim,CS-6181,Level 2,Porsche Taycan,Porsche,93,2025-02-22 19:29:36,2025-02-22 21:23:36,114,5.39,0.89,Subscription,27.3,Completed,56.2
Japan,Tokyo,CS-5677,DC Fast,Audi e-tron,Audi,95,2025-01-20 14:35:45,2025-01-20 16:13:45,98,22.74,3.05,App,16.1,Failed,35.1
Canada,Montreal,CS-4328,Level 2,Porsche Taycan,Porsche,93,2025-02-08 05:33:39,2025-02-08 08:18:39,165,15.05,3.09,Subscription,1.9,Failed,66.5
China,Shenzhen,CS-5552,Level 1,BYD Han,BYD,76,2025-01-23 02:53:34,2025-01-23 03:29:34,36,52.72,10.23,App,-0.3,Aborted,65.5
Japan,Osaka,CS-9080,Level 1,Porsche Taycan,Porsche,93,2025-03-17 00:56:40,2025-03-17 03:43:40,167,17.13,3.68,App,20.4,Failed,83.5
UK,Birmingham,CS-2758,Level 2,BMW i3,BMW,42,2025-01-08 20:45:01,2025-01-08 23:05:01,140,15.69,2.45,Subscription,-2.9,Aborted,86.1
Norway,Oslo,CS-3834,Level 2,Chevy Bolt,Chevrolet,66,2025-03-13 23:05:49,2025-03-14 00:58:49,113,63.79,16.05,App,22.4,Aborted,66.8
Norway,Bergen,CS-2159,Level 1,BMW i3,BMW,42,2025-01-09 22:36:10,2025-01-09 23:12:10,36,25.92,8.78,App,-3.7,Completed,53.0
UK,Manchester,CS-8935,Level 1,BYD Han,BYD,76,2025-02-21 02:28:32,2025-02-21 04:49:32,141,44.03,5.9,App,26.0,Aborted,53.4
USA,San Francisco,CS-1770,DC Fast,Kia EV6,Kia,77,2025-01-09 02:51:02,2025-01-09 05:25:02,154,20.74,4.72,Subscription,25.1,Aborted,80.0
USA,Los Angeles,CS-6301,Level 1,Hyundai Kona Electric,Hyundai,64,2025-01-12 10:16:17,2025-01-12 12:00:17,104,55.87,7.04,Card,3.4,Failed,57.0
India,Bangalore,CS-4694,Level 1,BYD Han,BYD,76,2025-04-06 05:22:47,2025-04-06 08:18:47,176,35.4,10.08,Card,27.2,Failed,38.1
China,Shenzhen,CS-7182,Level 2,Renault Zoe,Renault,52,2025-03-01 23:27:16,2025-03-02 00:25:16,58,20.21,6.29,Subscription,5.7,Failed,88.8
Germany,Berlin,CS-9591,Level 1,Porsche Taycan,Porsche,93,2025-02-25 08:47:54,2025-02-25 09:17:54,30,92.34,33.25,Subscription,29.6,Completed,21.7
India,Mumbai,CS-5305,DC Fast,Porsche Taycan,Porsche,93,2025-02-16 09:46:40,2025-02-16 12:06:40,140,17.51,5.07,App,10.0,Completed,60.7
Germany,Munich,CS-4932,Level 2,Renault Zoe,Renault,52,2025-02-19 03:49:30,2025-02-19 05:15:30,86,37.65,13.67,App,8.1,Completed,79.5
Germany,Hamburg,CS-4423,Level 1,Kia EV6,Kia,77,2025-03-22 20:05:23,2025-03-22 23:02:23,177,52.82,10.96,Subscription,10.9,Aborted,76.0
Norway,Bergen,CS-8272,DC Fast,Audi e-tron,Audi,95,2025-01-14 02:43:48,2025-01-14 04:10:48,87,35.4,9.68,App,26.5,Failed,71.0
USA,New York,CS-7574,Level 2,Kia EV6,Kia,77,2025-02-20 23:17:35,2025-02-20 23:36:35,19,13.95,4.98,App,-5.0,Aborted,26.2
UK,Birmingham,CS-5617,Level 1,Hyundai Kona Electric,Hyundai,64,2025-03-05 21:47:51,2025-03-05 22:42:51,55,56.59,20.54,Subscription,9.4,Completed,39.7
UK,London,CS-8855,Level 1,Porsche Taycan,Porsche,93,2025-03-07 01:17:50,2025-03-07 04:12:50,175,31.88,9.88,App,21.2,Failed,17.6
France,Lyon,CS-9313,Level 2,Nissan Leaf,Nissan,40,2025-03-10 12:49:19,2025-03-10 13:37:19,48,25.78,6.6,Card,-4.7,Aborted,75.4
Canada,Montreal,CS-2474,DC Fast,BMW i3,BMW,42,2025-03-05 18:31:15,2025-03-05 20:48:15,137,7.62,1.64,Card,-0.9,Aborted,80.5
UK,Manchester,CS-7056,DC Fast,BMW i3,BMW,42,2025-03-13 07:07:36,2025-03-13 10:06:36,179,41.74,5.96,Subscription,-4.7,Failed,23.1
India,Bangalore,CS-7943,DC Fast,Chevy Bolt,Chevrolet,66,2025-03-14 16:48:13,2025-03-14 19:43:13,175,50.64,19.04,Subscription,12.7,Completed,16.9
Germany,Berlin,CS-7765,Level 2,Nissan Leaf,Nissan,40,2025-03-09 13:53:26,2025-03-09 16:38:26,165,30.55,6.28,App,26.6,Completed,32.2
Germany,Berlin,CS-6162,DC Fast,Renault Zoe,Renault,52,2025-04-03 20:59:09,2025-04-03 23:47:09,168,33.2,9.37,Card,28.9,Failed,80.1
France,Nice,CS-7617,DC Fast,BYD Han,BYD,76,2025-01-31 07:37:45,2025-01-31 10:02:45,145,18.39,4.0,Card,26.4,Completed,49.6
Germany,Berlin,CS-5555,Level 1,Kia EV6,Kia,77,2025-01-20 19:56:10,2025-01-20 22:54:10,178,47.76,12.35,App,32.4,Completed,40.9
Australia,Melbourne,CS-3034,Level 1,Audi e-tron,Audi,95,2025-03-05 06:57:01,2025-03-05 09:31:01,154,66.46,21.85,Card,18.5,Completed,31.0
USA,New York,CS-4796,Level 2,Porsche Taycan,Porsche,93,2025-01-24 00:39:05,2025-01-24 03:03:05,144,30.21,9.48,App,23.1,Completed,61.2
Japan,Yokohama,CS-3687,Level 1,BMW i3,BMW,42,2025-01-18 01:43:59,2025-01-18 03:09:59,86,8.09,1.0,Card,16.5,Aborted,56.9
Germany,Munich,CS-2569,Level 2,Porsche Taycan,Porsche,93,2025-03-22 06:01:31,2025-03-22 07:17:31,76,10.1,1.27,Card,13.1,Failed,14.4
UK,London,CS-3007,Level 2,Tesla Model 3,Tesla,60,2025-02-03 02:05:54,2025-02-03 02:55:54,50,43.58,6.5,Subscription,15.7,Failed,30.7
India,Mumbai,CS-8642,Level 2,Hyundai Kona Electric,Hyundai,64,2025-03-29 19:17:43,2025-03-29 20:02:43,45,50.51,5.5,App,16.0,Aborted,67.0
Australia,Brisbane,CS-1603,Level 2,Nissan Leaf,Nissan,40,2025-03-07 05:35:05,2025-03-07 07:57:05,142,20.93,4.35,Subscription,1.7,Completed,30.4
Germany,Hamburg,CS-9234,Level 1,Nissan Leaf,Nissan,40,2025-02-14 21:46:05,2025-02-14 22:59:05,73,30.93,3.12,Card,-3.2,Aborted,40.6
UK,London,CS-4166,DC Fast,Tesla Model 3,Tesla,60,2025-03-19 08:32:25,2025-03-19 11:08:25,156,49.17,15.45,App,4.0,Completed,43.3
India,Delhi,CS-7389,Level 1,Nissan Leaf,Nissan,40,2025-03-19 02:08:54,2025-03-19 04:49:54,161,18.05,4.52,Card,3.9,Failed,88.5
Canada,Toronto,CS-3564,Level 1,Kia EV6,Kia,77,2025-03-05 12:24:57,2025-03-05 13:51:57,87,60.69,11.73,Subscription,13.3,Aborted,26.1
Australia,Melbourne,CS-4009,Level 2,BYD Han,BYD,76,2025-01-28 09:18:50,2025-01-28 10:35:50,77,37.94,10.53,Card,24.3,Failed,70.8
France,Paris,CS-3970,DC Fast,Tesla Model 3,Tesla,60,2025-03-03 20:36:36,2025-03-03 22:35:36,119,6.32,1.66,Subscription,30.1,Aborted,10.1
Canada,Montreal,CS-9262,Level 2,Hyundai Kona Electric,Hyundai,64,2025-03-19 15:19:09,2025-03-19 16:00:09,41,17.11,6.76,App,33.4,Completed,66.9
Germany,Berlin,CS-3011,Level 2,Chevy Bolt,Chevrolet,66,2025-03-24 22:31:06,2025-03-25 00:59:06,148,30.2,11.13,Subscription,-1.6,Completed,50.4
Canada,Toronto,CS-7877,Level 1,BYD Han,BYD,76,2025-02-09 05:29:37,2025-02-09 08:09:37,160,9.42,2.81,Card,6.7,Aborted,84.1
Canada,Montreal,CS-2598,Level 1,Audi e-tron,Audi,95,2025-02-11 20:26:57,2025-02-11 22:02:57,96,45.75,7.78,Card,26.2,Failed,18.7
Germany,Berlin,CS-1586,Level 2,Kia EV6,Kia,77,2025-03-01 19:40:55,2025-03-01 21:54:55,134,27.61,3.76,Card,13.1,Aborted,31.2
Germany,Berlin,CS-1836,Level 1,BMW i3,BMW,42,2025-04-03 23:07:11,2025-04-04 00:39:11,92,35.58,11.0,Card,28.4,Aborted,21.9
France,Lyon,CS-7332,Level 1,Porsche Taycan,Porsche,93,2025-02-05 22:37:10,2025-02-06 01:03:10,146,9.31,1.77,Card,33.1,Aborted,54.5
Japan,Tokyo,CS-5766,Level 1,Nissan Leaf,Nissan,40,2025-03-03 16:08:32,2025-03-03 18:21:32,133,8.57,2.9,Card,-2.5,Completed,20.5
Canada,Vancouver,CS-2734,Level 1,Nissan Leaf,Nissan,40,2025-01-08 10:59:25,2025-01-08 13:43:25,164,25.51,9.57,Card,34.9,Completed,82.2
Norway,Oslo,CS-3177,Level 1,Nissan Leaf,Nissan,40,2025-03-04 08:17:18,2025-03-04 09:56:18,99,9.29,3.56,Card,32.0,Aborted,75.7
Canada,Vancouver,CS-2367,Level 1,Tesla Model 3,Tesla,60,2025-02-05 01:47:06,2025-02-05 03:39:06,112,42.58,6.47,Card,6.0,Aborted,80.7
